,game_id,fg_scored,fg_missed,turnover,personal_foul,violation,substitution,time_out,jump_ball,ejection,end_of_period,else,team_name_away,reb_away,pts_away,wl_away,ast_away,tov_away,pf_away,plus_minus_away,game_year,off_rebounds_away
0,11300002,1,7,1,2,0,0,0,0,0,1,2,Chicago Bulls,56.0,82.0,W,20.0,23.0,25.0,6,2013,12
1,11300003,4,3,0,3,0,0,0,0,0,0,0,New Orleans Pelicans,33.0,116.0,W,17.0,15.0,32.0,1,2013,10
2,11300004,3,2,2,3,0,0,0,0,0,0,3,Golden State Warriors,52.0,95.0,L,21.0,23.0,31.0,-9,2013,10
3,11300006,1,4,1,1,1,0,1,0,0,0,1,Denver Nuggets,55.0,97.0,W,23.0,28.0,33.0,9,2013,8
4,11300007,2,2,1,2,0,0,0,0,0,0,2,Memphis Grizzlies,31.0,87.0,L,21.0,20.0,31.0,-19,2013,7
5,11300010,5,3,2,1,0,0,0,0,0,0,0,Los Angeles Clippers,44.0,89.0,W,24.0,14.0,25.0,8,2013,11
6,11300011,5,3,0,2,0,0,0,0,0,0,0,Toronto Raptors,46.0,97.0,W,16.0,26.0,22.0,8,2013,10
7,11300012,3,2,0,1,0,0,0,0,0,0,0,Atlanta Hawks,41.0,87.0,L,20.0,23.0,19.0,-5,2013,6
8,11300013,3,2,2,2,0,0,0,0,0,0,1,New Orleans Pelicans,40.0,94.0,W,17.0,16.0,27.0,2,2013,9
9,11300014,1,4,1,2,0,0,0,0,0,0,0,Sacramento Kings,40.0,81.0,L,20.0,26.0,23.0,-13,2013,8
10,11300015,4,3,0,2,0,0,0,0,0,0,0,Brooklyn Nets,48.0,111.0,W,29.0,25.0,33.0,5,2013,9
11,11300016,2,3,0,3,0,0,1,0,0,0,0,Milwaukee Bucks,38.0,87.0,L,18.0,24.0,27.0,-12,2013,9
12,11300017,0,3,0,3,0,0,0,1,0,0,1,Golden State Warriors,41.0,78.0,L,15.0,12.0,21.0,-23,2013,6
13,11300018,5,10,0,2,0,0,0,0,0,0,2,Denver Nuggets,53.0,88.0,L,19.0,13.0,29.0,-2,2013,17
14,11300019,1,2,1,1,0,0,0,0,0,1,0,Atlanta Hawks,44.0,87.0,W,24.0,20.0,28.0,2,2013,6
15,11300021,2,4,1,3,0,0,0,0,0,0,0,Oklahoma City Thunder,51.0,103.0,W,30.0,19.0,23.0,4,2013,10
16,11300022,3,2,0,1,0,1,0,0,0,0,0,Minnesota Timberwolves,41.0,101.0,W,21.0,11.0,21.0,12,2013,6
17,11300023,2,4,0,2,0,0,0,0,0,0,0,New Orleans Pelicans,43.0,99.0,W,22.0,16.0,25.0,4,2013,8
18,11300024,3,1,1,1,0,0,0,0,0,0,1,Dallas Mavericks,45.0,95.0,W,20.0,16.0,24.0,5,2013,6
19,11300025,0,4,0,1,0,0,1,0,0,0,0,Phoenix Suns,43.0,104.0,W,22.0,14.0,29.0,6,2013,6
20,11300026,1,3,0,0,0,0,0,0,0,0,0,New York Knicks,34.0,103.0,W,21.0,14.0,21.0,1,2013,4
21,11300028,2,3,1,0,0,0,0,0,0,0,0,Milwaukee Bucks,41.0,89.0,L,20.0,24.0,33.0,-9,2013,6
