,game_id,fg_scored,fg_missed,turnover,personal_foul,violation,substitution,time_out,jump_ball,ejection,end_of_period,else,team_name_home,reb_home,pts_home,wl_home,ast_home,tov_home,pf_home,plus_minus_home,game_year,off_rebounds_home
0,11300002,3,2,3,2,0,0,0,0,0,0,0,Indiana Pacers,38.0,76.0,L,15.0,15.0,23.0,-6,2013,10
1,11300003,2,0,0,1,0,0,0,0,0,0,1,Houston Rockets,35.0,115.0,L,24.0,22.0,27.0,-1,2013,3
2,11300004,2,2,1,1,0,0,0,1,0,0,0,Los Angeles Lakers,44.0,104.0,W,22.0,20.0,27.0,9,2013,6
3,11300006,0,5,1,4,0,0,0,0,0,0,2,Los Angeles Lakers,47.0,88.0,L,21.0,23.0,23.0,-9,2013,10
4,11300007,3,4,1,3,0,0,0,0,0,0,1,Chicago Bulls,43.0,106.0,W,17.0,18.0,26.0,19,2013,11
5,11300010,2,5,1,4,0,0,0,0,0,0,2,Portland Trail Blazers,50.0,81.0,L,14.0,23.0,27.0,-8,2013,12
6,11300011,3,1,1,1,0,0,0,0,0,0,0,Boston Celtics,26.0,89.0,L,25.0,14.0,22.0,-8,2013,6
7,11300012,1,3,0,0,0,0,0,0,0,0,0,Miami Heat,37.0,92.0,W,20.0,24.0,25.0,5,2013,4
8,11300013,6,0,0,1,0,0,0,0,0,0,0,Dallas Mavericks,43.0,92.0,L,26.0,28.0,21.0,-2,2013,7
9,11300014,2,2,1,2,0,0,1,0,0,0,1,Golden State Warriors,44.0,94.0,W,23.0,22.0,23.0,13,2013,8
10,11300015,5,4,1,2,0,0,0,0,0,0,0,Washington Wizards,45.0,106.0,L,15.0,23.0,35.0,-5,2013,12
11,11300016,5,6,1,1,0,0,0,0,0,0,3,Cleveland Cavaliers,50.0,99.0,W,21.0,26.0,33.0,12,2013,13
12,11300017,4,4,0,2,0,0,0,0,0,0,2,Utah Jazz,62.0,101.0,W,23.0,17.0,20.0,23,2013,10
13,11300018,3,1,3,2,0,0,0,0,0,0,0,Los Angeles Lakers,44.0,90.0,W,19.0,22.0,33.0,2,2013,9
14,11300019,1,2,2,3,0,0,0,0,0,0,1,Charlotte Hornets,41.0,85.0,L,15.0,15.0,16.0,-2,2013,8
15,11300021,0,2,1,1,0,0,0,0,0,1,2,Philadelphia 76ers,42.0,99.0,L,25.0,20.0,21.0,-4,2013,5
16,11300022,1,0,0,3,0,0,0,0,0,0,0,Toronto Raptors,35.0,89.0,L,18.0,14.0,26.0,-12,2013,4
17,11300023,3,4,2,4,0,0,0,0,0,0,1,Orlando Magic,52.0,95.0,L,19.0,18.0,27.0,-4,2013,13
18,11300024,4,4,0,0,0,0,0,0,0,0,1,Memphis Grizzlies,51.0,90.0,L,18.0,17.0,20.0,-5,2013,8
19,11300025,3,0,0,0,0,0,0,0,0,0,0,Portland Trail Blazers,38.0,98.0,L,21.0,18.0,26.0,-6,2013,3
20,11300026,2,4,0,0,0,0,0,0,0,0,0,Boston Celtics,36.0,102.0,L,28.0,16.0,26.0,-1,2013,6
21,11300028,5,8,1,2,0,0,0,0,0,0,0,Minnesota Timberwolves,43.0,98.0,W,15.0,16.0,19.0,9,2013,16
22,11300029,2,2,0,0,0,0,0,0,0,0,2,Los Angeles Lakers,38.0,86.0,L,21.0,10.0,13.0,-18,2013,4
23,11300030,5,4,0,4,0,0,0,0,0,0,0,Detroit Pistons,55.0,107.0,L,15.0,24.0,29.0,-5,2013,13
24,11300031,3,2,1,1,0,0,0,0,0,0,1,Indiana Pacers,39.0,96.0,L,16.0,19.0,29.0,-20,2013,7
25,11300032,5,2,0,0,0,0,0,0,0,0,0,Toronto Raptors,44.0,100.0,W,9.0,23.0,23.0,9,2013,7
26,11300033,3,3,1,1,0,0,0,0,0,0,0,Philadelphia 76ers,54.0,97.0,W,23.0,25.0,21.0,12,2013,8
27,11300034,2,4,2,2,0,0,0,0,0,0,0,Orlando Magic,43.0,105.0,L,24.0,25.0,34.0,-5,2013,10
28,11300035,3,2,0,2,0,0,0,0,0,0,0,Portland Trail Blazers,49.0,96.0,W,19.0,23.0,27.0,10,2013,7
29,11300036,2,4,1,1,0,0,0,0,0,0,1,Miami Heat,41.0,86.0,W,15.0,13.0,22.0,11,2013,8
30,11300037,3,2,1,3,0,0,0,0,0,0,0,Washington Wizards,44.0,81.0,L,16.0,20.0,16.0,-2,2013,9
31,11300038,5,2,0,1,0,0,1,0,0,0,0,Minnesota Timberwolves,33.0,97.0,L,16.0,16.0,25.0,-7,2013,9
32,11300039,2,4,1,2,0,0,0,0,0,0,1,Utah Jazz,40.0,74.0,L,19.0,18.0,14.0,-32,2013,9
33,11300041,1,3,0,2,0,0,0,0,0,0,0,Brooklyn Nets,28.0,88.0,L,16.0,21.0,25.0,-11,2013,6
34,11300042,2,4,1,1,0,0,0,0,0,0,1,Milwaukee Bucks,47.0,76.0,L,20.0,19.0,23.0,-7,2013,8
35,11300043,2,3,1,0,0,0,0,0,0,0,0,New Orleans Pelicans,44.0,105.0,W,24.0,22.0,23.0,32,2013,6
36,11300044,3,3,0,3,0,0,0,0,0,0,1,Houston Rockets,46.0,107.0,W,27.0,18.0,28.0,9,2013,9
37,11300045,2,0,1,0,0,0,0,0,0,0,1,San Antonio Spurs,39.0,99.0,L,27.0,13.0,19.0,-7,2013,3
38,11300047,3,4,1,0,0,0,0,0,0,1,0,Philadelphia 76ers,31.0,97.0,L,22.0,18.0,25.0,-30,2013,9
